text,difficulty,importance
fix report barely any effort extremely important,0.079,0.913
go to interview difficult pointless,0.771,0.114
lead standup massive effort basically useless,0.851,0.139
complete code review sometime this week,0.347,0.275
refactor email easy must do,0.168,0.935
hard code review,0.67,0.516
complete deployment takes forever but skip it,0.758,0.149
file timesheet complex very important,0.79,0.853
have dentist regular task,0.482,0.418
do gym session easy simple,0.193,0.09
submit budget complex nobody asked for,0.646,0.111
have checkup difficult urgent,0.636,0.921
get dentist thirty seconds can't skip,0.039,0.865
handle shopping technically hard completely optional,0.789,0.175
go through assignment not difficult,0.165,0.317
finish report extremely complex critical,0.834,0.899
prepare for retrospective exhausting low stakes,0.728,0.177
do run demanding critical,0.758,0.879
refactor documentation hard waste of time,0.696,0.068
go to medication simple urgent need,0.171,0.95
do medication worthwhile effort,0.488,0.684
take care of shopping quick and simple,0.138,0.089
have sprint planning not critical should do,0.451,0.31
file budget extreme critical,0.889,0.926
get cleaning simple critical,0.081,0.955
submit taxes thirty seconds can't skip,0.043,0.892
run meeting extreme critical,0.925,0.862
do run extremely hard life or death,0.845,0.955
get dentist considerable effort,0.514,0.532
have dentist not important but hard,0.625,0.198
attend slides takes no time,0.017,0.157
work on deployment one click very important,0.057,0.966
work on documentation extremely complex critical,0.752,0.876
do medication neither easy nor hard,0.4,0.422
lead presentation simple enough,0.12,0.186
do meditation low priority,0.394,0.259
debug unit testing not important but hard,0.767,0.207
go through exam prep quite demanding,0.526,0.543
do cooking hard demanding,0.697,0.591
do stretch worth the time,0.375,0.705
do run if time allows,0.448,0.257
go for meditation medium priority,0.456,0.581
fill out budget one click very important,0.097,0.921
extreme doctor appointment,0.932,0.773
handle groceries middle of the road,0.461,0.504
have call with client quite demanding,0.664,0.583
join standup worth the time,0.39,0.734
finish dishes not hard but important,0.228,0.795
do walk easy no effort,0.047,0.095
handle groceries complex very important,0.67,0.934
join sprint planning quick can't miss,0.058,0.941
have doctor appointment complex nobody asked for,0.621,0.128
do walk tough urgent must do,0.622,0.859
go to slides complex very important,0.614,0.922
run call with client hard cannot miss,0.67,0.912
attend presentation tough no benefit,0.573,0.08
complete documentation quick can't miss,0.089,0.856
have call with client difficult pointless,0.671,0.175
debug documentation easy but critical,0.058,0.943
attend call with client hard hard,0.571,0.528
fix deployment tough urgent must do,0.78,0.871
do yoga not important but hard,0.776,0.173
go through study session hard needs focus,0.673,0.728
complete deployment non trivial,0.55,0.472
complete code review easy but critical,0.136,0.857
lead retrospective hard cannot miss,0.775,0.897
join standup takes forever but skip it,0.663,0.069
debug documentation standard routine,0.314,0.459
finish study session hard doesn't matter,0.653,0.085
fix documentation quick but important,0.087,0.878
go for walk simple critical,0.116,0.934
complete deployment at 6am,0.228,0.311
do stretch minor task,0.297,0.231
go to networking event thirty seconds can't skip,0.094,0.948
ship unit testing quick nothing important,0.068,0.05
write unit testing non trivial,0.538,0.303
work on report this week,0.459,0.384
fill out budget hard nobody cares,0.752,0.096
tough performance review,0.68,0.481
go to medication hard needs focus,0.587,0.588
join meeting hard hard,0.62,0.684
file expense report brutal intense,0.86,0.938
finish code review hard hard,0.704,0.633
mandatory performance review,0.416,0.852
go to doctor appointment draining but irrelevant,0.719,0.087
review deployment not critical should do,0.478,0.348
take care of shopping exhausting low stakes,0.645,0.166
prepare for standup easy very important,0.137,0.861
ship report hard cannot miss,0.776,0.863
do cooking small but worth doing,0.205,0.387
go to interview worthwhile effort,0.379,0.658
write documentation someday task,0.37,0.233
refactor documentation at 6am,0.349,0.295
prepare for sprint planning hard waste of time,0.756,0.099
debug documentation hard quite important,0.582,0.749
prepare for reading hard critical,0.648,0.941
submit budget tough no benefit,0.68,0.112
go for run one click very important,0.06,0.907
get cooking important needs focus,0.357,0.659
go to doctor appointment hard cannot miss,0.755,0.95
review reading easy must do,0.114,0.944
prepare for sprint planning takes no time,0.056,0.114
hard reading session,0.637,0.593
get dentist not important,0.231,0.25
complete deployment can wait,0.349,0.274
do run hard demanding,0.635,0.671
do cooking requires focus,0.383,0.584
critical expense report,0.369,0.907
run retrospective requires focus,0.362,0.645
go to slides grueling most important,0.867,0.892
do yoga important needs focus,0.457,0.607
attend slides important needs focus,0.403,0.78
take care of vacuuming simple critical,0.176,0.909
get cooking should prioritize,0.427,0.685
attend team standup difficult urgent,0.69,0.929
work on email this week,0.321,0.481
push unit testing quite demanding,0.634,0.472
get cooking regular task,0.372,0.477
do run massive effort basically useless,0.79,0.093
go to doctor appointment whenever,0.337,0.166
have checkup takes forever but skip it,0.672,0.103
take care of dishes considerable effort,0.507,0.497
get medication fair amount of work,0.479,0.379
go for stretch quick urgent,0.149,0.852
get doctor appointment simple urgent need,0.149,0.943
complete expense report not a priority,0.3,0.157
file invoice one click very important,0.08,0.95
write performance review grueling most important,0.868,0.865
handle shopping fairly important,0.288,0.603
do cooking quick urgent,0.094,0.944
go for workout easy low importance,0.128,0.301
complete taxes difficult pointless,0.646,0.127
lead slides difficult pointless,0.722,0.108
lead team standup considerable effort,0.457,0.463
go for yoga difficult needs doing,0.622,0.523
lead standup easy moderate important,0.193,0.62
hard sprint planning session,0.618,0.68
review reading simple urgent need,0.146,0.944
review performance review easy no big deal,0.171,0.146
have standup brutal intense,0.816,0.802
push deployment non trivial,0.459,0.341
lead retrospective quite demanding,0.511,0.555
go to doctor appointment moderate nothing special,0.311,0.323
finish code review regular task,0.422,0.3
take care of dishes exhausting low stakes,0.704,0.099
get laundry decent work reasonable priority,0.457,0.589
go for workout non trivial,0.486,0.486
refactor code review difficult needs doing,0.668,0.684
finish assignment draining but irrelevant,0.699,0.079
have medication thirty seconds can't skip,0.108,0.885
file budget hard critical,0.619,0.865
review exam prep worthwhile effort,0.418,0.649
attend presentation difficult pointless,0.773,0.173
go for gym session in the morning,0.22,0.379
go for workout simple worth doing,0.155,0.479
debug documentation hard critical,0.699,0.85
do doctor appointment not urgent,0.41,0.191
have checkup requires focus,0.37,0.657
do dusting takes no time,0.052,0.061
join slides hard hard,0.675,0.6
do workout technically hard completely optional,0.67,0.091
get vacuuming no rush,0.264,0.154
finish dishes tough challenging,0.747,0.645
fill out taxes takes forever but skip it,0.771,0.106
take care of shopping considerable effort,0.528,0.485
finish assignment demanding critical,0.676,0.933
debug deployment quite demanding,0.55,0.493
do yoga not hard,0.166,0.313
prepare for sprint planning technically hard completely optional,0.764,0.093
run meeting routine low stakes,0.264,0.258
do study session difficult pointless,0.692,0.098
go to slides hard waste of time,0.749,0.074
have presentation decent priority,0.366,0.619
finish exam prep not hard but important,0.221,0.619
join slides quick urgent,0.087,0.895
review report technically hard completely optional,0.649,0.167
finish study session straightforward,0.134,0.15
have doctor appointment massive effort basically useless,0.792,0.063
write documentation quick can't miss,0.126,0.88
do gym session needs reasonable effort,0.301,0.352
do groceries not easy not important,0.535,0.366
work on code review easy must do,0.091,0.948
have checkup tiny task major impact,0.066,0.872
get vacuuming hard nobody cares,0.762,0.05
go through exam prep tough no benefit,0.71,0.109
push email massive effort basically useless,0.75,0.113
go through assignment exhausting low stakes,0.638,0.116
take care of groceries quick urgent,0.084,0.946
have retrospective quick and simple,0.133,0.183
go for workout at 6am,0.33,0.296
do stretch medium effort,0.358,0.499
join networking event barely any effort extremely important,0.057,0.939
join interview fairly important,0.341,0.509
fix report hardest thing ever very important,0.958,0.993
have medication quite demanding,0.68,0.456
finish laundry tough urgent must do,0.616,0.881
go to doctor appointment worth the time,0.342,0.642
lead meeting important needs focus,0.493,0.762
easy team standup session,0.172,0.082
join slides non trivial,0.583,0.308
lead team standup moderately important,0.357,0.633
study for reading extreme critical,0.804,0.91
review email hard very important,0.644,0.842
get medication hard needs focus,0.648,0.714
fix unit testing moderate effort,0.399,0.446
have retrospective extreme critical,0.867,0.898
do shopping tomorrow,0.259,0.292
debug email needs attention,0.427,0.647
go for gym session hardest thing ever very important,0.958,0.99
take care of shopping important needs focus,0.449,0.776
go for yoga decent effort important,0.33,0.747
complete documentation extremely complex critical,0.884,0.867
complete budget hard zero payoff,0.738,0.132
do checkup at 6am,0.233,0.201
push code review worthwhile effort,0.45,0.56
do dishes draining but irrelevant,0.778,0.1
do laundry hard cannot miss,0.601,0.892
join team standup brutal intense,0.9,0.856
run presentation technically hard completely optional,0.672,0.104
review code review tough challenging,0.559,0.512
complete taxes takes some effort,0.384,0.347
file timesheet tonight,0.385,0.28
fill out invoice hard nobody cares,0.723,0.065
do assignment tonight,0.205,0.222
fill out expense report should take some time,0.363,0.335
handle shopping moderate doesn't matter,0.316,0.206
lead retrospective average task average priority,0.459,0.583
do assignment hardest thing ever very important,0.869,0.926
run slides extreme critical,0.825,0.865
review documentation worth the time,0.387,0.628
lead standup extremely complex critical,0.887,0.933
prepare for retrospective complex nobody asked for,0.741,0.109
go for stretch difficult needs doing,0.595,0.514
prepare for networking event tomorrow,0.373,0.266
run retrospective tough no benefit,0.735,0.082
go to dentist exhausting low stakes,0.692,0.139
handle groceries difficult pointless,0.631,0.13
submit budget massive effort basically useless,0.873,0.119
push deployment quick doesn't matter,0.04,0.107
submit expense report hard cannot miss,0.769,0.863
file timesheet hard demanding,0.794,0.625
have team standup simple worth doing,0.105,0.505
fix performance review quick low value,0.176,0.202
finish performance review hard hard,0.677,0.601
simple team standup,0.108,0.208
go through reading grueling most important,0.934,0.864
do meditation hard cannot miss,0.617,0.883
fill out taxes extreme critical,0.88,0.858
work on unit testing hard doesn't matter,0.704,0.108
get vacuuming medium difficulty medium stakes,0.547,0.498
go for walk on Monday,0.223,0.318
complete email difficult needs doing,0.678,0.728
get vacuuming in the morning,0.224,0.327
do medication easy but critical,0.06,0.818
do budget simple critical,0.097,0.899
finish reading nice to have,0.333,0.358
attend call with client hard doesn't matter,0.714,0.132
review performance review standard routine,0.36,0.494
study for exam prep in the morning,0.395,0.338
take care of vacuuming easy must do,0.113,0.866
finish dishes on Monday,0.328,0.207
finish report before lunch,0.347,0.207
join call with client difficult needs doing,0.717,0.577
take care of laundry medium priority,0.412,0.606
do budget easy moderate important,0.112,0.66
attend interview easy but critical,0.06,0.919
finish code review easy nothing to stress,0.058,0.098
handle groceries quick can't miss,0.131,0.873
do homework worth the time,0.425,0.692
file expense report tough challenging,0.746,0.576
join call with client not a priority,0.207,0.22
take care of laundry kinda hard kinda matters,0.541,0.536
finish exam prep quick and simple,0.103,0.112
push email extreme critical,0.914,0.892
get cooking quick but matters,0.105,0.519
do exam prep extreme critical,0.855,0.915
do run easy must do,0.113,0.946
prepare for team standup considerable effort,0.565,0.445
go to dentist should take some time,0.49,0.446
take care of cooking someday task,0.359,0.259
write performance review no rush,0.409,0.316
run sprint planning hard waste of time,0.779,0.074
file expense report difficult pointless,0.786,0.083
finish laundry not easy not important,0.421,0.414
finish vacuuming hard nobody cares,0.651,0.167
have interview difficult pointless,0.642,0.128
go for workout easy no big deal,0.122,0.09
go for workout quick low value,0.132,0.258
lead sprint planning important needs focus,0.39,0.653
complete email difficult pointless,0.721,0.076
do walk one click very important,0.034,0.939
complete report important needs focus,0.441,0.719
complete performance review tough challenging,0.574,0.679
have networking event hard nobody cares,0.662,0.062
do timesheet quite demanding,0.649,0.515
refactor documentation not hard but important,0.155,0.78
lead presentation not important but hard,0.781,0.204
do vacuuming tiny task major impact,0.102,0.903
attend call with client trivial but high stakes,0.12,0.846
get vacuuming hard cannot miss,0.701,0.899
finish report hard hard,0.66,0.602
prepare for assignment difficult urgent,0.591,0.939
handle shopping exhausting low stakes,0.653,0.133
do stretch easy very important,0.127,0.91
go for gym session extremely complex critical,0.787,0.915
finish cooking technically hard completely optional,0.719,0.175
go to dentist tough no benefit,0.718,0.079
complete code review easy should do,0.152,0.644
prepare for retrospective simple critical,0.137,0.964
get vacuuming hardest thing ever very important,0.963,0.985
go for gym session not urgent,0.255,0.222
write report grueling most important,0.885,0.911
work on deployment fair amount of work,0.511,0.547
go for yoga massive effort basically useless,0.844,0.097
study for reading simple worth doing,0.125,0.645
join slides exhausting low stakes,0.633,0.141
do medication easy nothing to stress,0.091,0.126
review reading not urgent,0.377,0.158
do cleaning quick can't miss,0.137,0.935
have slides barely anything,0.068,0.112
lead presentation hard very important,0.662,0.882
finish dishes important moderate effort,0.484,0.657
work on performance review hard quite important,0.739,0.643
do gym session simple pointless,0.02,0.02
do vacuuming someday task,0.354,0.317
file taxes needs attention,0.459,0.633
get dishes minor task,0.211,0.22
run meeting difficult pointless,0.792,0.082
complete code review one click very important,0.071,0.959
lead standup easy very important,0.12,0.835
critical networking event,0.389,0.963
go for meditation easy very important,0.174,0.943
run standup hard doesn't matter,0.626,0.099
do stretch hard needs focus,0.721,0.651
go to meeting quick urgent,0.136,0.859
file invoice hard demanding,0.673,0.712
review reading hard waste of time,0.67,0.131
take care of shopping difficult pointless,0.738,0.05
complete taxes sometime this week,0.208,0.225
complete unit testing hard quite important,0.592,0.648
go to retrospective exhausting low stakes,0.741,0.136
handle shopping extremely hard life or death,0.915,0.909
go for yoga can wait,0.276,0.288
push report non trivial,0.56,0.428
write code review kinda hard kinda matters,0.491,0.582
lead standup tough no benefit,0.555,0.076
go through homework one click very important,0.036,0.93
do gym session easy but critical,0.103,0.9
easy workout session,0.089,0.113
have checkup quick but matters,0.171,0.684
do timesheet simple urgent need,0.107,0.825
go for stretch easy but critical,0.136,0.837
fix performance review this evening,0.35,0.193
work on performance review hard very important,0.686,0.805
take care of groceries decent effort important,0.413,0.748
do budget easy nothing to stress,0.091,0.121
complete documentation brutal intense,0.938,0.831
join retrospective technically hard completely optional,0.792,0.107
take care of shopping quick can't miss,0.118,0.893
finish dishes not urgent,0.398,0.314
attend retrospective before lunch,0.201,0.277
file taxes moderately important,0.414,0.555
do meditation moderately important,0.444,0.674
take care of groceries hard zero payoff,0.716,0.089
prepare for assignment considerable effort,0.565,0.489
go for run hard critical,0.584,0.928
do dishes hard demanding,0.608,0.711
review study session fairly important,0.31,0.67
run interview hard critical,0.682,0.855
finish code review complex nobody asked for,0.698,0.144
do shopping hard very important,0.591,0.855
join networking event grueling most important,0.967,0.915
go for walk hard quite important,0.564,0.759
prepare for study session quick can't miss,0.118,0.862
prepare for networking event takes no time top priority,0.044,0.805
get dishes quick but matters,0.134,0.606
submit timesheet takes forever but skip it,0.753,0.124
do taxes takes no time top priority,0.072,0.923
do budget fair amount of work,0.504,0.387
go through reading minor task,0.223,0.362
join slides hard doesn't matter,0.706,0.177
lead meeting kinda hard kinda matters,0.471,0.527
attend team standup middle of the road,0.444,0.574
do run hard cannot miss,0.771,0.871
have checkup quick doesn't matter,0.098,0.024
prepare for slides hard quite important,0.702,0.767
do dishes should prioritize,0.426,0.557
do run this evening,0.371,0.279
join meeting worthwhile effort,0.475,0.634
go to standup tough challenging,0.676,0.688
have medication easy no effort,0.023,0.078
finish documentation hard critical,0.648,0.907
fill out invoice simple critical,0.153,0.856
do doctor appointment at 6am,0.334,0.37
run slides difficult pointless,0.713,0.151
do taxes difficult pointless,0.786,0.119
do shopping worthwhile effort,0.341,0.513
lead slides simple worth doing,0.147,0.551
go to dentist hard nobody cares,0.683,0.089
do doctor appointment hard cannot miss,0.691,0.89
work on performance review hard hard,0.64,0.656
go to dentist simple urgent need,0.114,0.926
get checkup if time allows,0.425,0.331
have team standup quite demanding,0.54,0.469
submit taxes quick can't miss,0.125,0.901
get cleaning tough urgent must do,0.642,0.921
go to team standup routine low stakes,0.25,0.33
go for run draining but irrelevant,0.773,0.122
do gym session simple urgent need,0.122,0.895
complete performance review draining but irrelevant,0.689,0.1
do homework easy but critical,0.134,0.843
review assignment extremely hard life or death,0.869,0.954
take care of dishes tomorrow,0.204,0.349
go for gym session decent priority,0.488,0.58
study for exam prep moderately important,0.433,0.675
go for run simple worth doing,0.089,0.547
do meditation easy but critical,0.145,0.802
get dentist complex very important,0.778,0.801
run interview decent amount of work,0.447,0.451
study for exam prep brutal intense,0.923,0.811
study for assignment not critical should do,0.3,0.374
do cooking medium priority,0.435,0.543
finish dishes non trivial,0.586,0.357
run call with client neither easy nor hard,0.51,0.376
do homework decent work reasonable priority,0.412,0.532
do checkup barely anything,0.049,0.118
prepare for standup non trivial,0.468,0.427
do checkup background task,0.31,0.325
prepare for meeting not hard but important,0.168,0.614
go to meeting brutal intense,0.946,0.902
write code review solid mid level task,0.393,0.536
finish exam prep not a priority,0.324,0.255
get vacuuming worthwhile effort,0.47,0.672
debug performance review quick can't miss,0.144,0.923
go to dentist somewhat challenging,0.512,0.479
go for meditation one click very important,0.044,0.938
review homework hard hard,0.651,0.604
do dusting simple urgent need,0.104,0.81
attend slides extremely hard life or death,0.926,0.96
write deployment hardest thing ever very important,0.905,0.928
complete expense report simple urgent need,0.122,0.847
ship report decent amount of work,0.428,0.473
go to call with client moderate nothing special,0.402,0.388
refactor unit testing not important but hard,0.635,0.211
prepare for sprint planning difficult urgent,0.55,0.926
have checkup trivial but high stakes,0.05,0.874
study for exam prep quick but important,0.053,0.862
fix unit testing technically hard completely optional,0.601,0.159
go for run worth the time,0.464,0.707
do assignment massive effort basically useless,0.764,0.148
go for run medium priority,0.485,0.555
do shopping grueling most important,0.921,0.922
get laundry quite demanding,0.545,0.417
complete invoice needs attention,0.342,0.639
prepare for reading tough urgent must do,0.764,0.914
review unit testing massive effort basically useless,0.859,0.142
do study session quick but matters,0.132,0.544
handle groceries quite demanding,0.655,0.467
work on email quick can't miss,0.074,0.923
prepare for call with client tough urgent must do,0.654,0.911
fill out taxes hard nobody cares,0.784,0.068
do shopping thirty seconds can't skip,0.062,0.888
review email easy low importance,0.198,0.219
do checkup simple urgent need,0.121,0.844
finish cooking medium priority,0.344,0.644
study for reading before lunch,0.396,0.205
get checkup tough no benefit,0.746,0.092
go for yoga tough no benefit,0.619,0.128
take care of shopping complex very important,0.607,0.805
join presentation difficult needs doing,0.571,0.513
join retrospective tough challenging,0.642,0.604
go for gym session simple enough,0.155,0.129
do expense report routine low stakes,0.259,0.209
finish homework not important but hard,0.637,0.282
join team standup quick urgent,0.094,0.921
hard dusting session,0.579,0.549
study for homework easy but critical,0.129,0.91
finish cleaning simple urgent need,0.129,0.814
prepare for reading important needs focus,0.47,0.793
complete expense report on Monday,0.377,0.268
file taxes in the morning,0.337,0.363
do workout hard zero payoff,0.706,0.084
do reading considerable effort,0.512,0.373
complete performance review considerable effort,0.542,0.452
do assignment this week,0.364,0.525
have medication fair amount of work,0.374,0.481
review study session easy moderate important,0.198,0.623
do homework not hard but important,0.244,0.761
push deployment exhausting low stakes,0.693,0.111
complete documentation easy no big deal,0.169,0.102
finish vacuuming tiny task major impact,0.089,0.887
get cleaning needs attention,0.335,0.707
file timesheet not urgent,0.363,0.255
study for homework hard nobody cares,0.748,0.111
go through assignment barely any effort extremely important,0.119,0.921
lead slides extreme critical,0.912,0.924
debug performance review considerable effort,0.576,0.452
go through study session hard quite important,0.668,0.739
do invoice easy must do,0.138,0.833
have interview hard zero payoff,0.759,0.112
fill out timesheet hard quite important,0.654,0.627
debug email medium priority,0.405,0.571
prepare for sprint planning simple critical,0.143,0.855
do homework hard demanding,0.785,0.739
do walk hard zero payoff,0.638,0.112
go to medication difficult pointless,0.628,0.075
handle shopping takes forever but skip it,0.65,0.104
join team standup at 6am,0.377,0.239
hard study session,0.581,0.645
push code review hard doesn't matter,0.671,0.052
finish dishes not important but hard,0.783,0.25
do gym session should take some time,0.5,0.313
go to checkup hard quite important,0.552,0.652
finish cooking non trivial,0.534,0.366
do vacuuming quick but important,0.111,0.83
submit taxes tiny task major impact,0.097,0.84
ship documentation minor task,0.206,0.29
debug report regular task,0.477,0.493
complete expense report not important but hard,0.616,0.215
urgent doctor appointment,0.386,0.845
lead call with client not urgent,0.455,0.308
review study session easy but critical,0.146,0.94
write deployment should prioritize,0.465,0.643
get doctor appointment not important but hard,0.792,0.259
do budget hard quite important,0.679,0.699
do taxes complex nobody asked for,0.74,0.096
do workout hard critical,0.706,0.948
complete email easy moderate important,0.136,0.68
do budget quick and simple,0.075,0.169
review report hard cannot miss,0.744,0.937
review documentation tough no benefit,0.641,0.068
work on deployment difficult urgent,0.746,0.894
get medication decent amount of work,0.369,0.366
fill out expense report before lunch,0.28,0.372
push deployment no rush,0.47,0.15
have slides needs reasonable effort,0.322,0.543
get laundry barely any effort extremely important,0.119,0.883
do workout easy should do,0.114,0.571
complete code review tough urgent must do,0.602,0.871
have networking event hardest thing ever very important,0.865,0.985
complete unit testing difficult needs doing,0.641,0.556
take care of groceries hard needs focus,0.708,0.605
do expense report technically hard completely optional,0.664,0.156
do dentist quite demanding,0.649,0.589
submit timesheet worth the time,0.453,0.674
refactor unit testing tiny task major impact,0.144,0.932
finish cleaning can wait,0.235,0.328
attend meeting hard zero payoff,0.635,0.15
study for exam prep background task,0.363,0.222
ship unit testing hard critical,0.65,0.861
study for homework exhausting low stakes,0.722,0.184
debug code review quite demanding,0.571,0.529
lead slides quick and simple,0.133,0.094
get dentist tough no benefit,0.746,0.053
finish dusting hard very important,0.552,0.878
prepare for homework decent amount of work,0.399,0.426
complete deployment difficult pointless,0.667,0.094
finish unit testing quick nothing important,0.047,0.084
lead meeting extremely hard life or death,0.926,0.946
take care of groceries easy no big deal,0.156,0.131
write code review hard very important,0.555,0.894
go to sprint planning thirty seconds can't skip,0.09,0.874
do workout exhausting low stakes,0.69,0.199
debug documentation hard waste of time,0.644,0.144
do dentist quick but matters,0.146,0.527
do workout simple worth doing,0.138,0.517
submit budget extreme critical,0.926,0.887
get dishes important needs focus,0.386,0.672
write report small but worth doing,0.241,0.328
go to presentation needs reasonable effort,0.369,0.414
complete report non trivial,0.52,0.422
join sprint planning takes forever but skip it,0.751,0.107
ship performance review extremely hard life or death,0.806,0.954
have sprint planning kinda hard kinda matters,0.476,0.53
finish laundry decent effort important,0.379,0.717
do workout hard very important,0.564,0.885
study for exam prep considerable effort,0.467,0.401
submit budget tough challenging,0.707,0.634
finish laundry difficult urgent,0.701,0.899
do meditation easy simple,0.094,0.094
push documentation not urgent,0.315,0.192
do doctor appointment simple urgent need,0.145,0.949
have interview draining but irrelevant,0.66,0.131
easy interview session,0.098,0.125
run call with client not hard but important,0.116,0.646
take care of dishes technically hard completely optional,0.77,0.094
refactor documentation extreme critical,0.924,0.893
study for study session important needs focus,0.396,0.795
finish reading extremely hard life or death,0.908,0.909
review email moderate doesn't matter,0.375,0.231
prepare for retrospective tough no benefit,0.718,0.101
join slides not important but hard,0.708,0.176
join team standup complex very important,0.609,0.805
do exam prep quick but matters,0.136,0.52
quick study session,0.104,0.18
get doctor appointment hard very important,0.655,0.814
complete code review exhausting low stakes,0.639,0.099
study for assignment in the morning,0.23,0.369
do dishes moderate effort,0.483,0.481
join call with client decent effort important,0.428,0.555
review report complex very important,0.685,0.916
have doctor appointment considerable effort,0.597,0.353
get doctor appointment simple enough,0.137,0.19
prepare for assignment hard waste of time,0.767,0.067
get checkup easy no effort,0.051,0.108
do cleaning hard doesn't matter,0.735,0.153
join interview middle of the road,0.418,0.486
go to meeting tough no benefit,0.617,0.073
prepare for team standup takes some effort,0.473,0.418
urgent networking event,0.377,0.86
take care of dishes this evening,0.299,0.174
urgent gym session,0.332,0.814
refactor email massive effort basically useless,0.751,0.141
file expense report exhausting low stakes,0.697,0.177
do groceries hard demanding,0.712,0.6
lead meeting easy very important,0.161,0.813
finish code review draining but irrelevant,0.769,0.105
go to meeting needs attention,0.483,0.602
do walk if time allows,0.452,0.286
handle groceries moderate effort,0.386,0.427
prepare for exam prep complex very important,0.677,0.875
do walk easy simple,0.157,0.177
debug report simple worth doing,0.181,0.631
do stretch quick urgent,0.086,0.945
file timesheet decent priority,0.336,0.586
finish cooking easy must do,0.128,0.851
do doctor appointment difficult pointless,0.74,0.134
join networking event massive effort basically useless,0.83,0.134
go through exam prep quick but important,0.061,0.857
prepare for team standup demanding critical,0.657,0.932
go for gym session difficult pointless,0.687,0.148
do vacuuming easy should do,0.092,0.595
do shopping not hard but important,0.156,0.608
attend team standup tough challenging,0.643,0.67
join retrospective next week,0.329,0.207
review unit testing hard critical,0.6,0.891
work on code review decent work reasonable priority,0.453,0.591
do laundry technically hard completely optional,0.742,0.173
go to team standup requires focus,0.491,0.625
do budget takes no time top priority,0.097,0.878
file expense report straightforward,0.139,0.132
get vacuuming extremely hard life or death,0.933,0.953
push code review quite demanding,0.694,0.494
ship documentation if time allows,0.351,0.35
get dusting neither easy nor hard,0.449,0.465
ship deployment demanding critical,0.65,0.888
do gym session extremely complex critical,0.796,0.918
fix email not hard but important,0.103,0.734
prepare for homework complex nobody asked for,0.6,0.072
complete timesheet non trivial,0.545,0.479
finish homework hard waste of time,0.755,0.111
fill out expense report quite demanding,0.678,0.412
go to sprint planning easy no big deal,0.081,0.135
file timesheet requires focus,0.384,0.599
prepare for exam prep easy very important,0.097,0.916
get dishes medium difficulty medium stakes,0.51,0.54
do dusting massive effort basically useless,0.719,0.118
finish reading barely anything,0.076,0.113
finish study session difficult pointless,0.659,0.165
do meditation extremely complex critical,0.83,0.949
go for run hard demanding,0.637,0.599
submit taxes fairly important,0.369,0.587
have dentist brutal intense,0.829,0.949
finish documentation exhausting low stakes,0.606,0.169
take care of dusting non trivial,0.521,0.372
review exam prep moderate nothing special,0.332,0.281
take care of cleaning sometime this week,0.223,0.191
go to checkup neither easy nor hard,0.403,0.501
complete performance review not important but hard,0.747,0.173
ship report important needs focus,0.521,0.615
have doctor appointment hard quite important,0.613,0.708
prepare for standup tough no benefit,0.598,0.093
push report needs attention,0.336,0.604
go to interview simple critical,0.157,0.916
finish assignment kinda hard kinda matters,0.506,0.472
ship unit testing quick urgent,0.1,0.87
submit budget needs reasonable effort,0.483,0.512
fill out expense report tough challenging,0.646,0.502
run call with client massive effort basically useless,0.823,0.127
lead team standup not difficult,0.244,0.391
have call with client hard cannot miss,0.668,0.925
do yoga trivial but high stakes,0.089,0.804
get vacuuming brutal intense,0.887,0.896
debug deployment needs attention,0.421,0.585
submit expense report in the morning,0.221,0.272
run retrospective not difficult,0.168,0.248
get checkup extreme critical,0.94,0.922
review assignment worthwhile effort,0.377,0.529
do study session tough no benefit,0.592,0.053
do gym session hard doesn't matter,0.587,0.093
fill out budget tough challenging,0.598,0.698
review unit testing easy moderate important,0.121,0.518
work on deployment quick urgent,0.084,0.921
go through assignment this evening,0.324,0.286
prepare for presentation not critical should do,0.428,0.476
do invoice easy low importance,0.198,0.232
have checkup somewhat challenging,0.555,0.419
have presentation easy must do,0.158,0.913
have slides extremely complex critical,0.752,0.863
finish homework somewhat challenging,0.497,0.36
do stretch hardest thing ever very important,0.894,0.903
complete expense report barely any effort extremely important,0.072,0.858
review deployment easy very important,0.159,0.836
get vacuuming considerable effort,0.478,0.453
study for study session exhausting low stakes,0.649,0.097
fix performance review technically hard completely optional,0.794,0.189
do checkup complex very important,0.754,0.928
finish unit testing technically hard completely optional,0.719,0.122
have doctor appointment one click very important,0.063,0.939
pointless doctor appointment,0.342,0.114
have dentist easy low importance,0.172,0.253
study for exam prep easy must do,0.162,0.846
review report difficult urgent,0.713,0.81
lead interview fairly important,0.361,0.688
go to dentist needs reasonable effort,0.443,0.537
go through homework fairly important,0.376,0.619
complete expense report exhausting low stakes,0.657,0.129
lead slides hard zero payoff,0.675,0.106
go to retrospective extremely complex critical,0.827,0.935
have networking event hard needs focus,0.646,0.601
do shopping solid mid level task,0.545,0.412
fix deployment tough no benefit,0.69,0.062
work on code review tough no benefit,0.595,0.118
complete taxes extremely hard life or death,0.853,0.971
fix code review on Monday,0.225,0.365
fill out invoice hard waste of time,0.758,0.056
take care of shopping not hard,0.131,0.309
do study session extreme critical,0.935,0.918
finish documentation not easy not important,0.558,0.413
ship deployment hard waste of time,0.768,0.105
go for run simple enough,0.168,0.159
do gym session grueling most important,0.887,0.919
prepare for meeting draining but irrelevant,0.684,0.102
